1	4	0	10
1	5	20	30
1	11	40	50
2	3	60	70
2	6	80	90
2	7	100	110
2	8	120	130
2	10	140	150
2	12	160	170
3	6	180	190
3	7	200	210
3	10	220	230
3	12	240	250
4	5	260	270
4	9	280	290
4	11	300	310
5	6	320	330
5	9	340	350
5	11	360	370
6	7	380	390
6	12	400	410
7	8	420	430
7	10	440	450
7	12	460	470
8	10	480	490
8	12	500	510
9	11	520	530
10	12	540	550
1	4	560	570
1	5	580	590
1	11	600	610
2	3	620	630
2	6	640	650
2	7	660	670
2	8	680	690
2	10	700	710
2	12	720	730
3	6	740	750
3	7	760	770
3	10	780	790
3	12	800	810
4	5	820	830
4	9	840	850
4	11	860	870
5	6	880	890
5	9	900	910
5	11	920	930
6	7	940	950
6	12	960	970
7	8	980	990
7	10	1000	1010
7	12	1020	1030
8	10	1040	1050
8	12	1060	1070
9	11	1080	1090
10	12	1100	1110
4	1	1200	1210
9	11	1220	1230
4	5	1235	1240
9	5	1250	1260
5	6	1260	1270
12	8	1280	1300
7	2	1280	1290
10	3	1280	1310
9	11	1400	1410
5	9	1420	1430
5	11	1440	1450
6	5	1460	1470
5	1	1500	1510
4	1	1520	1530
5	4	1540	1550
6	5	1560	1570
8	12	1600	1610
7	8	1620	1630
2	8	1640	1650
2	7	1640	1650
5	11	1700	1710
6	5	1720	1730
7	6	1740	1750
2	6	1760	1770
12	6	1775	1780
12	7	1790	1800
